number of syllables per word, as evaluated by my rule system (previous version)


SEPARATED WORDS: 
1 the 
1 be 
1 and 
1 of 
1 a 
1 in 
1 to 
1 have 
1 to 
1 it 
1 i 
1 that 
1 for 
1 you 
1 he 
1 with 
1 on 
1 do 
1 say 
1 this 
1 they 
1 at 
1 but 
1 we 
1 his 
1 from 
1 that 
1 not 
1 by 
1 she 
1 or 
1 as 
1 what 
1 go 
1 their 
1 can 
1 who 
1 get 
1 if 
1 would 
1 her 
1 all 
1 my 
1 make 
2 about 
1 know 
1 will 
1 as 
1 up 
1 one 
1 time 
1 there 
1 year 
1 so 
1 think 
1 when 
1 which 
1 them 
1 some 
1 me 
2 people 
1 take 
1 out 
2 into 
1 just 
1 see 
1 him 
1 your 
1 come 
1 could 
1 now 
1 than 
1 like 
2 other 
1 how 
1 then 
1 its 
1 our 
1 two 
1 more 
1 these 
1 want 
1 way 
1 look 
1 first 
2 also 
1 new 
2 because 
1 day 
1 more 
1 use 
1 no 
1 man 
1 find 
1 here 
1 thing 
1 give 
2 many 
1 well 
2 only 
1 those 
1 tell 
1 one 
2 very 
1 her 
2 even 
1 back 
2 any 
1 good 
2 woman 
1 through 
1 us 
1 life 
1 child 
1 there 
1 work 
1 down 
1 may 
2 after 
1 should 
1 call 
1 world 
2 over 
1 school 
1 still 
1 try 
1 in 
1 as 
1 last 
1 ask 
2 need 
1 too 
1 feel 
1 three 
1 when 
1 state 
2 never 
2 become 
2 between 
1 high 
2 really 
3 something 
1 most 
3 another 
1 much 
3 family 
1 own 
1 out 
1 leave 
1 put 
1 old 
1 while 
1 mean 
1 on 
1 keep 
2 student 
1 why 
1 let 
1 great 
1 same 
1 big 
1 group 
2 begin 
1 seem 
2 country 
1 help 
1 talk 
1 where 
1 turn 
2 problem 
3 every 
1 start 
1 hand 
1 might 
4 american 
1 show 
1 part 
2 about 
2 against 
1 place 
2 over 
1 such 
2 again 
1 few 
1 case 
1 most 
1 week 
3 company 
1 where 
2 system 
1 each 
1 right 
2 program 
1 hear 
1 so 
2 question 
2 during 
1 work 
1 play 
3 government 
1 run 
1 small 
2 number 
1 off 
